Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2009-007,(6) Complete,Olume,1415,Mission,St,94103,3510,1,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,07/22/2013,04/29/2014,04/29/2014,05/27/2016,R&K Investments,,,2005.054,http://propertymap.sfplanning.org/?search=2005.0540,"2005.0540C,2005.0540E,2005.0540E_3,2005.0540K,2005.0540T,2005.0540V,2005.0540X,2005.0540Z",11/12/2009,On-site BMR Project,200810315586,121,18,103,15,,3,8,7,,,,,,,18,,,,,,,,,,,18,,,,,,,,,,,37.77490763,-122.4159198,"(37.774907631, -122.415919820999)"
2017-002,(6) Complete,4042 Fulton,4042-4048,Fulton,St,94118,1659,23,1,Outer Richmond,Inner Richmond,MOHCD,Small Sites Program,,Rehabilitation,Rental,03/29/2017,09/18/2017,,,09/18/2017,01/23/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,,,5,5,,100,,,1,1,3,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,37.77315331,-122.4753991,"(37.773153314, -122.475399108999)"
2013-003,(6) Complete,855 Brannan,801,Brannan,St,94103,3783,"011, 012, 013, 014",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,09/26/2014,04/20/2015,04/20/2015,12/07/2018,"BW Brannan St, LLC",,,2012.07,http://propertymap.sfplanning.org/?search=2012.0700,2012.0700X,01/31/2013,On-site BMR Project,201309045886,432,55,377,13,,11,21,22,1,,,,,,55,,,,,,,,,,,55,,,,,,,,,,,37.77182386,-122.4038826,"(37.771823860892, -122.403882621095)"
2018-008,(4) Site Work Permit Issued,600 Van Ness,600,Van Ness,Ave,94102,763,"006, 007, 008, 009",6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/03/2018,,06/03/2019,07/27/2021,"Reuben, Junius & Rose, LLP",,,2015-012729PRJ,http://propertymap.sfplanning.org/?search=2015-012729PRJ,"2015-012729CUA,2015-012729ENV,2015-012729PPA,2015-012729SHD,2015-012729TDM",05/24/2018,On-site BMR Project,201712196900,168,24,144,14,,11,8,5,,,,,,,24,,,,,,,,,,,24,,,,,,,,,,,37.78133743,-122.4200933,"(37.781337431, -122.420093310999)"
2016-004,(6) Complete,344-348 Precita,344-348,Precita,Ave,94110,5524,1,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,,Rehabilitation,Rental,03/16/2016,01/09/2020,,,01/09/2020,06/30/2020,Mission Economic Development Agency,,"MEDA Precita Small Properties, LLC",2018-009999PRL,http://propertymap.sfplanning.org/?search=2018-009999PRL,,,,,3,3,,100,,1,1,1,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,37.74664968,-122.4126876,"(37.746649676, -122.412687553999)"
2020-012,(6) Complete,480 Warren ADUs,480,Warren,Dr,94131,2635,46,7,Inner Sunset,Inner Sunset,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,04/27/2020,,10/26/2020,12/20/2022,Freezestore Fayette Street LLC,,,2017-005954PRJ,http://propertymap.sfplanning.org/?search=2017-005954PRJ,,03/02/2020,On-site BMR Project,,13,2,11,15,,1,,1,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,37.75853,-122.46237,"(37.75853, -122.46237)"
2020-029,(5) First Construction Document Issued,2676 Folsom,2676,Folsom,St,94110,3638,12,9,Mission,Mission,MOHCD,Small Sites Program,,Rehabilitation,Rental,07/23/2020,10/12/2020,,,10/12/2020,04/09/2022,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2020-010870PRJ,,,,,,10,10,,100,,,2,7,1,,,,,,10,,,,,,,,,,,,,10,,,,,,,,,37.75448,-122.41466,"(37.75448, -122.41466)"
2011-029,(6) Complete,Gantry,2121,3rd,St,94107,4045,41,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,07/20/2012,11/05/2012,11/05/2012,11/12/2014,"MCRT Mission Piers, LCC",,,2010.0094,http://propertymap.sfplanning.org/?search=2010.0094,"2010.0094E,2010.0094K,2010.0094X",09/08/2011,On-site BMR Project,201111179162,105,18,87,17,,2,8,7,1,,,,,,18,,,,,,,,,,,18,,,,,,,,,,,37.76268612,-122.3882188,"(37.762686117, -122.388218805999)"
2017-003,(6) Complete,1015 Shotwell,1015,Shotwell,St,94110,6520,31,9,Mission,Mission,MOHCD,Small Sites Program,,Rehabilitation,Rental,05/12/2017,09/13/2017,,,09/13/2017,04/10/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,10,10,,100,,2,7,1,,,,,,,10,,,,,,,,,,,,,10,,,,,,,,,37.75188861,-122.4147941,"(37.751888608, -122.414794067999)"
2015-016,(5) First Construction Document Issued,70-72C Belcher,70-72C,Belcher,St,94114,3537,69,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Small Sites Program,,Rehabilitation,Rental,01/22/2016,03/15/2019,,,03/15/2019,02/01/2021,San Francisco Community Land Trust,,San Francisco Community Land Trust,2019-022236PRL,http://propertymap.sfplanning.org/?search=2019-022236PRL,,,,,5,5,,100,,,,5,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,37.76810592,-122.430444,"(37.768105919, -122.430443995999)"
2016-121,(6) Complete,3620 Cesar Chavez,3620,Cesar Chavez,St,94110,6568,32,8,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,11/02/2017,05/21/2018,05/21/2018,06/30/2020,,,,2015-009459PRJ,http://propertymap.sfplanning.org/?search=2015-009459PRJ,"2015-009459ENV,2015-009459ENX,2015-009459PPA",04/14/2016,Fee Payment,201607142327,24,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.74832286,-122.4219108,"(37.748322859, -122.421910784999)"
2020-017,(1) Preliminary Phase,1979 Mission,1979,Mission,St,94103,3553,52,6,Mission,Mission,MOHCD,Multifamily Rental Program,,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.76566,-122.41945,"(37.76566, -122.41945)"
2012-012,(3) Design with Entitlements Approved,376 Castro,376,Castro,St,94114,2623,6,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,08/01/2014,06/29/2019,376 castro Street LLC,,,2004.0976,http://propertymap.sfplanning.org/?search=2004.0976,"2004.0976C,2004.0976E,2004.0976E_3,2004.0976K,2004.0976V",08/02/2012,On-site BMR Project,201305177243,24,3,21,13,,,1,2,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,37.76292125,-122.4355001,"(37.762921251, -122.435500090999)"
2016-081,(3) Design with Entitlements Approved,"Block 48, Phase 1 (Blocks A, B, F, G, J)",898,La Salle,Ave,94124,4591D,,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,04/01/2020,,,04/01/2020,09/23/2021,,,,Not Applicable,,,03/03/2015,,,174,25,149,14,,,9,15,1,,,,,,25,,,,,,,,,,,,,22,,,,,3,,,,37.72857194,-122.3774198,"(37.728571941, -122.377419821999)"
2016-041,(6) Complete,Haight Street Apartments,398,Haight,St,94102,850,003E,5,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,,Rehabilitation,Rental,,05/15/2017,,,05/15/2017,11/15/2018,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,Not Applicable,,,,,,12,7,5,58,,,5,2,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,37.77253239,-122.4286167,"(37.772532389, -122.428616704999)"
2015-063,(6) Complete,37 Grace,37,Grace,St,94103,3509,26,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,03/30/2018,07/03/2018,07/03/2018,01/08/2021,D-Sheme Studio Architects,,,2014-002016PRJ,http://propertymap.sfplanning.org/?search=2014-002016PRJ,"12059PRV,2014-002016ENV,2014-002016PPA,2014-002016VAR",10/13/2017,Fee Payment,201601126879,11,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77515718,-122.414565,"(37.775157176, -122.414565016999)"
2016-098,(1) Preliminary Phase,"HPSY II-CP, Block 2B",,Address not yet assigned,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,,12/31/2028,,,12/31/2028,06/24/1930,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,,130,129,1,99,,,,,,,,,1,,129,,,,,,,,,,,,,,,,,,,,,129,37.71598266,-122.3851199,"(37.715982657, -122.385119946999)"
2006-005,(5) First Construction Document Issued,"Trinity Plaza Apartments, Phase IV",1167,Market,St,94103,3702A,"002, 003, 004, 005",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,10/24/2016,08/08/2018,08/08/2018,06/22/2021,Trinity Properties,,,2002.1179,http://propertymap.sfplanning.org/?search=2002.1179,"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",08/03/2006,On-site BMR Project,201511203265,493,74,419,15,,,,,,,,,,,74,,,,,,,,,,,74,,,,,,,,,,,37.77845686,-122.413427,"(37.778456858, -122.413427037999)"
2008-001,(6) Complete,Bill Sorro Community (Hugo/200 6th),1009,Howard,St,94103,3731,1,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,,New Construction,Rental,,12/16/2014,01/30/2014,05/30/2014,05/30/2014,05/25/2017,Mercy Housing California,,"Mercy Housing California 51, LP",2011.0119,http://propertymap.sfplanning.org/?search=2011.0119,"2011.0119C,2011.0119E,2011.0119E_3,2011.0119K,2011.0119R,2011.0119V",08/01/2013,,201211295086,67,66,1,99,,8,24,24,10,,,4,1,2bd,66,,,,14,,,,,,66,,,,,,,,,,,,37.77937939,-122.4071016,"(37.77937939, -122.407101572999)"
2013-047,(6) Complete,3850 18th,3850,18th,St,94114,3580,196,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,10/12/2016,11/07/2016,07/06/2016,11/03/2016,11/03/2016,07/18/2018,Mission Economic Development Agency,BRIDGE Housing Corporation,"Bridge Housing Ventures, Inc, MEDA Housing LLC",2015-014726PRJ,http://propertymap.sfplanning.org/?search=2015-014726PRJ,,,,201510301343,107,106,1,99,,88,18,,,,,11,1,1bd,,106,,,,,,,,,106,,,,,,,,,,,,37.76161215,-122.4295877,"(37.761612148, -122.429587674999)"
2021-005,(3) Design with Entitlements Approved,4742 Mission,4742,Mission,St,94112,956,"004, 005",11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,,,03/03/2023,04/26/2025,Atlas Property Group,,,2019-012820PRJ,,,03/04/2021,On-site BMR Project,,46,11,35,24,,4,,7,,,,,,,11,,,,,,,,,,,5,,3,,,,,,,,,37.72232,-122.43696,"(37.72232, -122.43696)"
2017-015,(5) First Construction Document Issued,495 Cambridge,495,Cambridge,St,94134,5592A,71,9,Portola,Excelsior,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,10/12/2018,04/03/2019,04/03/2019,05/27/2021,"Cambridge Estates Holding, LLC",,,2013.1711,http://propertymap.sfplanning.org/?search=2013.1711,"2013.1711CUA,2013.1711E,2013.1711TDM,2013.1711U",05/18/2017,On-site BMR Project,"201012227225, 201012227226, 201012227227, 201012227228, 201012227229, 201012227230, 201012227231, 201012227232, 201012227233, 201012227234, 201012227235, 201012227236, 201012227237, 201012227238, 201012227239, 201012227240, 201012227241, 201012227242, 201012227243, 201012227244, 201012227251, 201012227252, 201012227253, 201012227254, 201012227255, 201012227256, 201012227257, 201012227258, 201012227259",54,7,47,13,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,37.72571853,-122.4173196,"(37.725718533, -122.417319634999)"
2016-036,(6) Complete,Dudley Apartments,172,6th,St,94103,3726,10,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,,Rehabilitation,Rental,,09/05/2018,08/18/2017,,09/05/2018,03/12/2019,Mercy Housing California,,"Mercy Housing California XXII, LP",Not Applicable,,,,,201708144681,75,74,1,99,25,25,24,,,,,2,1,1bd,74,,,25,,,,,,,74,,,,,,,,,,,,37.77983099,-122.4077952,"(37.779830995, -122.407795168999)"
2010-017,(6) Complete,1645 Pacific,1645,Pacific,Ave,94109,595,162-203 (42 parcels),3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,10/04/2012,12/20/2012,12/20/2012,11/12/2014,1645 Pacific LLC,,,2007.0519,http://propertymap.sfplanning.org/?search=2007.0519,"2007.0519C,2007.0519E,2007.0519E_3,2007.0519K,2007.0519Q",11/04/2010,"On-site BMR Project, Fee Payment",201110146841,39,5,34,13,,,1,4,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,37.79465727,-122.4223256,"(37.794657266, -122.422325614999)"
2017-047,(1) Preliminary Phase,772 Pacific Ave,772,Pacific,Ave,94133,161,15,3,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,,New Construction,Rental,,04/02/2024,,,04/02/2024,10/01/2025,Chinatown Community Developmenet Center,,,Not Yet Available,,,,,,50,49,1,98,,,,,,,,,1,,,49,,,,,,,,,,,,,,,,,,,,49,37.79700862,-122.4080163,"(37.797008618, -122.408016262999)"
2014-022,(6) Complete,923 Folsom,923,Folsom,St,94107,3753,375,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,05/12/2015,09/09/2015,09/09/2015,11/15/2017,Trumark Urban,,,2012.1333,http://propertymap.sfplanning.org/?search=2012.1333,"2012.1333E,2012.1333E_3,2012.1333Q,2012.1333S,2012.1333U,2012.1333X",07/24/2014,Fee Payment,201311202410,115,,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77954119,-122.4036593,"(37.77954119, -122.403659254999)"
2017-030,(3) Design with Entitlements Approved,2670 Geary,2670,Geary,Blvd,94118,1071,3,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,,,11/29/2019,01/22/2022,RGA Architecture,,,2014-002181PRJ,http://propertymap.sfplanning.org/?search=2014-002181PRJ,"2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR",11/30/2017,On-site BMR Project,201712146446,95,22,73,23,,15,,7,,,,,,,22,,,,,,,,,,,22,,,,,,,,,,,37.78285255,-122.4474425,"(37.782852551, -122.447442492999)"
2017-053,(6) Complete,305 San Carlos,305,San Carlos,St,94110,3609,114,9,Mission,Mission,MOHCD,Small Sites Program,,Rehabilitation,Rental,10/31/2017,12/01/2017,,,12/01/2017,01/30/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,12,12,,100,,9,3,,,,,,,,12,,,,,,,,,,,,,12,,,,,,,,,37.75839037,-122.4196844,"(37.758390374, -122.419684415999)"
2016-010,(5) First Construction Document Issued,2238-2254 Market,2238,Market,St,94114,3560,"005, 006, 007, 008, 025, 026",8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/08/2017,12/03/2018,12/03/2018,01/26/2021,Prado Group,,,2014.151,http://propertymap.sfplanning.org/?search=2014.1510,"2014.1510CND,2014.1510CUA,2014.1510ENV,2014.1510SHD,2014.1510SUB,2014.1510U",02/11/2016,"On-site BMR Project, Fee Payment",201703312940,45,5,40,11,,2,1,2,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,37.76546171,-122.432267,"(37.76546171, -122.432266983999)"
2005-011,(6) Complete,333 Fremont,333,Fremont,St,94105,3747,"332, 333",6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,09/09/2005,07/02/2012,07/02/2012,06/19/2014,"333 Fremont Venture, LLC",,,2002.1263,http://propertymap.sfplanning.org/?search=2002.1263,"2002.1263C,2002.1263E,2002.1263K,2002.1263Q,2002.1263S,2002.1263U,2002.1263V",06/16/2005,Fee Payment,200506246051,83,,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.78768215,-122.3926945,"(37.787682151, -122.392694532999)"
2013-024,(6) Complete,491 31st,491,31st,Ave,94121,1463,53,1,Outer Richmond,Outer Richmond,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,11/13/2015,11/01/2015,01/11/2016,,11/01/2015,07/28/2017,John Stewart Company,Mercy Housing California,"491 31st Ave, LP",2015-002984PRJ,http://propertymap.sfplanning.org/?search=2015-002984PRJ,,,,201503060175,75,74,1,99,,66,8,,,,,4,1,1bd,,74,,,,,,,,,74,,,,,,,,,,,,37.78012042,-122.4915141,"(37.780120419, -122.491514090999)"
2013-052,(5) First Construction Document Issued,88 Broadway Family,88,Broadway,,94111,140,7,3,Financial District/South Beach,North Beach,MOHCD,Multifamily Rental Program,,New Construction,Rental,,06/17/2019,,,06/17/2019,03/31/2021,BRIDGE Housing Corporation,John Stewart Company,88 Broadway Family LP,2016-007850PRJ,http://propertymap.sfplanning.org/?search=2016-007850PRJ,"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",05/03/2018,,201711154095,125,124,1,99,,16,37,47,24,,,14,1,2bd,124,,,,,,31,,5,,44,,54,11,,5,,,5,,,,37.79926013,-122.3996179,"(37.799260128, -122.399617948999)"
2007-001,(6) Complete,Broadway Sansome Family Housing,255,Broadway,,94111,165,21,3,Financial District/South Beach,North Beach,MOHCD,Multifamily Rental Program,,New Construction,Rental,,04/18/2013,08/09/2012,12/13/2012,12/13/2012,02/12/2015,Chinatown Community Development Center,,"Broadway Sansome Associates, LP",2008.0797,http://propertymap.sfplanning.org/?search=2008.0797,"2008.0797C,2008.0797E,2008.0797K,2008.0797V",07/22/2010,,201105166063,75,74,1,99,,10,35,24,5,,,,1,1bd,74,,,37,,37,,,,,74,,,,,,,,,,,,37.79829923,-122.401629,"(37.798299231, -122.401628989999)"
2012-001b,(6) Complete,Alice Griffith Phase 2 (Block 4),2700,Arelious Walker,Dr,94124,8811,1,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,03/02/2015,10/02/2014,01/22/2015,01/22/2015,10/27/2017,McCormack Baron Salazar,Tabernacle Community Development Corporation,"Alice Griffith Phase 2, LP",Not Applicable,,,,,,91,90,1,99,,,23,46,9,12,,9,1,2bd,90,,,,,,56,,,,90,,,,,,,,,,,,37.71833758,-122.385991,"(37.718337582, -122.385991021999)"
2018-038,(5) First Construction Document Issued,289 9th Ave/800 Clement,289,9th,Ave,94118,1424,17,1,Inner Richmond,Inner Richmond,MOHCD,Small Sites Program,,Rehabilitation,Rental,12/07/2018,08/01/2020,,,08/01/2020,06/01/2021,Chinatown Community Development Center,,"CCDC Small Sites, LLC",Not Applicable,,,,,,16,16,,100,14,,,2,,,,,,,2,14,,,,,,,,,14,,,2,,,,,,,,,37.78303679,-122.4678695,"(37.783036793, -122.467869501999)"
2015-025,(6) Complete,750 Harrison,750,Harrison,St,94107,3751,523-602 (81 parcels),6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,08/19/2016,10/31/2016,10/31/2016,10/01/2018,"SST Investments, LLC",,,2013.0485,http://propertymap.sfplanning.org/?search=2013.0485,"2013.0485CND,2013.0485E,2013.0485ENX,2013.0485U,2013.0485X_OLD,2014-003146SHD",06/04/2015,On-site BMR Project,201602230301,79,9,70,11,9,,,,,,,,,,9,,,,,,,,,,,9,,,,,,,,,,,37.78187326,-122.3987846,"(37.781873255, -122.398784639999)"
2015-032,(5) First Construction Document Issued,145 Leavenworth,145,Leavenworth,St,94102,345,2,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/07/2018,08/11/2020,08/11/2020,10/05/2022,"Forge Land Company, LLC",,,2012.1531,,,07/09/2015,On-site BMR Project,,94,11,83,12,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,37.78236,-122.41432,"(37.78236, -122.41432)"
2018-057,(3) Design with Entitlements Approved,768 Harrison,768,Harrison,St,94107,3751,33,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,,,10/31/2020,12/25/2022,,,,2013.1872,http://propertymap.sfplanning.org/?search=2013.1872,,11/02/2018,Fee Payment,,11,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7815,-122.39911,"(37.7815, -122.39911)"
2015-053,(5) First Construction Document Issued,1395 22nd,1395,22nd,St,94110,4167,13,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,05/18/2017,11/15/2017,11/15/2017,06/07/2019,"RMTEX22, LLC",,,2011.0671,http://propertymap.sfplanning.org/?search=2011.0671,"2011.0671E,2011.0671IKA,2011.0671PPA,2011.0671U,2011.0671X",12/03/2015,Fee Payment,201512145054,256,,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.75683558,-122.3945391,"(37.756835579, -122.394539072999)"
2014-028,(6) Complete,815-825 Tennessee,815-825,Tennessee,St,94107,4059,013-081 (69 parcels),10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,06/15/2016,08/31/2016,08/31/2016,11/05/2019,DM 815 Tennessee Street LLC,,,2013.022,http://propertymap.sfplanning.org/?search=2013.0220,"2013.0220CND,2013.0220E,2013.0220K,2013.0220PPA,2013.0220U,2013.0220X",10/16/2014,On-site BMR Project,201405054911,69,10,59,14,,,4,5,1,,,,,,10,,,,,,,,,,,,,,10,,,,,,,,37.76136542,-122.3892639,"(37.761365419, -122.389263883999)"
2016-116,(5) First Construction Document Issued,333 12th,333,12th,St,94103,3521,22,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,02/21/2018,05/30/2018,05/30/2018,10/21/2020,Panoramic Interests,,,2015-004109PRJ,http://propertymap.sfplanning.org/?search=2015-004109PRJ,"2015-004109CND,2015-004109CUA-02,2015-004109ENV,2015-004109ENX,2015-004109MCM,2015-004109PPA,2015-004109SUB",12/08/2016,On-site BMR Project,201705025458,148,27,121,18,,,,27,,,,,,,27,,,,,,,,,,16,11,,,,,,,,,,,37.77078351,-122.4139366,"(37.770783515, -122.413936606999)"
2010-004,(6) Complete,Five88 (Mission Bay South Block 7 West),588,Mission Bay Blvd North,,94158,8711,226,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,06/01/2015,10/09/2014,05/05/2015,05/05/2015,06/27/2017,Related California,Chinatown Community Development Center,"Mission Bay Block 7 Housing Partners, LP",Not Applicable,,,,,201404042522,200,198,2,99,,,70,128,,,,20,2,"1bd, 1bd",198,,,,,,,,,,40,,158,,,,,,,,,,37.77147184,-122.3906116,"(37.771471844, -122.390611630999)"
2018-004,(6) Complete,1140-1150 Harrison,1140-1150,Harrison,St,94103,3755,23,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,12/05/2018,07/16/2019,07/16/2019,11/30/2021,Scott Youdall,,,2016-001738PRJ,http://propertymap.sfplanning.org/?search=2016-001738PRJ,"2016-001738CUA,2016-001738ENV,2016-001738GPR,2016-001738PPA,2016-001738PRV,2016-001738TDM,2016-001738VAR",04/26/2018,Fee Payment,201804277640,371,,371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77498432,-122.4078409,"(37.774984321, -122.407840886999)"
2012-007,(6) Complete,Candlestick Heights,833-881,Jamestown,Ave,94124,4991,"743, 744",10,Bayview Hunters Point,Bayview,MOHCD,Bond Financed Inclusionary Housing,,New Construction,Rental,,11/20/2012,09/22/2010,,11/20/2012,08/20/2014,L&M,,New Jamestown LP,2007.0106,http://propertymap.sfplanning.org/?search=2007.0106,2007.0106Q,,,"201009201196, 201009201195, 201009201205, 201102100019, 201110146790, 201110146791, 201110146787, 201203206497, 201203206499, 201203206496, 201203206500",196,194,2,99,,,20,130,18,26,,,2,"2bd, 2bd",194,,,,,,,,,,43,,151,,,,,,,,,,37.71717418,-122.3922225,"(37.71717418, -122.392222486999)"
2018-031,(5) First Construction Document Issued,2500 Turk St,2500,Turk,St,94118,1107,8,1,Lone Mountain/USF,Inner Richmond,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,10/16/2018,03/06/2019,03/06/2019,03/05/2021,University of San Francisco,,,2015-000058PRJ,http://propertymap.sfplanning.org/?search=2015-000058PRJ,,03/15/2018,Exempt Project (student housing),"201611303815, 201611303820",155,,155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77909883,-122.4514481,"(37.779098833, -122.451448079999)"
2019-010,(5) First Construction Document Issued,1535 Jackson St,1535,Jackson,St,94109,597,22,3,Russian Hill,Nob Hill,MOHCD,Big Sites Program,,Rehabilitation,Rental,05/07/2019,02/13/2020,,,02/13/2020,04/30/2021,Chinatown Community Development Center,,"CCDC Small Sites, LLC",2019-017770PRJ,http://propertymap.sfplanning.org/?search=2019-017770PRJ,,,,,30,30,,100,30,,,,,,,,,,30,,,,,,,,,,,,,30,,,,,,,,,37.794194,-122.420356,"(37.794194, -122.420356)"
2020-034,(3) Design with Entitlements Approved,30 Van Ness,30,Van Ness,Ave,94102,835,4,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,05/20/2022,07/13/2024,"30 Van Ness Development, LLC",,,2017-008051PRJ,,,05/21/2020,On-site BMR Project,,333,83,250,25,,7,24,40,12,,,,,,83,,,,,,,,,,,,,33,,,,,,33,,,37.77603,-122.41898,"(37.77603, -122.41898)"
2018-026,(5) First Construction Document Issued,2255 Taraval St,2255,Taraval,St,94116,2393,40,4,Sunset/Parkside,Parkside,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,07/31/2018,04/18/2019,04/18/2019,06/11/2021,Tom Coyne,,,2013.0499,http://propertymap.sfplanning.org/?search=2013.0499,"2013.0499E,2013.0499PPA,2013.0499TDM,2013.0499U",06/10/2017,On-site BMR Project,201206203038,10,1,9,10,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,37.74215315,-122.4904547,"(37.742153149, -122.490454702999)"
